Date,WIPRO.NS,BAJAJ-AUTO.NS,HDFCBANK.NS,HEROMOTOCO.NS,TCS.NS,INFY.NS,NESTLEIND.NS,MARUTI.NS,RELIANCE.NS,TATAMOTORS.NS,NSE Index
26-02-2018,213.450378,1617.884155,323.636475,1594.506226,936.839478,396.639923,4547.739746,1555.205444,380.563263,395.093262,6276.950195
28-02-2018,211.397446,1639.319702,319.909912,1588.007935,977.024048,398.447296,4425.558105,1485.064331,375.516937,410.603577,6221.450195
03-03-2018,207.380096,1614.641479,318.285522,1579.289185,961.697205,395.67627,4236.69043,1478.708984,377.136444,404.4487,6297.950195
04-03-2018,208.194199,1618.768555,320.913239,1595.878662,961.954712,395.811737,4285.453613,1492.914917,381.619476,406.615173,6328.649902
05-03-2018,209.008301,1617.673706,319.981598,1593.779663,966.784546,398.119202,4345.999023,1519.083496,378.826416,403.365417,6401.149902
06-03-2018,207.008453,1649.047607,322.776459,1624.132935,961.997681,399.181702,4424.556641,1542.494751,386.079041,402.23291,6526.649902
07-03-2018,200.1064,1646.352417,339.904297,1621.751465,956.738525,389.639496,4467.771484,1621.561401,408.118561,402.873016,6537.25
10-03-2018,197.239395,1688.717529,350.892883,1627.402222,919.88147,382.482788,4367.33252,1683.290894,415.652832,389.972443,6511.899902
11-03-2018,198.159668,1673.178345,346.449615,1630.227783,923.745544,382.873383,4365.786621,1639.411865,410.629974,391.892761,6516.899902
12-03-2018,200.601944,1649.974121,346.640747,1664.253906,935.680664,382.451599,4361.783203,1648.664551,409.033966,382.931244,6493.100098
13-03-2018,199.487015,1656.459351,354.667175,1695.616089,922.843811,349.772369,4354.141602,1633.056519,412.88324,382.094208,6504.200195
14-03-2018,193.823792,1662.860596,349.793976,1714.90979,918.550659,353.579895,4329.257324,1624.73877,415.981445,387.264282,6516.649902
18-03-2018,191.293015,1680.210815,350.677917,1721.125488,911.016052,349.037933,4358.87207,1746.001709,420.816559,375.44693,6524.049805
19-03-2018,192.938889,1691.833984,352.803925,1706.43335,875.554321,340.829071,4385.527832,1747.450439,423.891235,378.499725,6483.100098
20-03-2018,195.505051,1661.681519,348.862335,1698.966431,905.091309,344.089661,4389.94043,1735.113892,425.299561,373.920532,6493.200195
21-03-2018,201.115173,1665.850464,350.606171,1669.54126,913.16272,344.360535,4304.467773,1746.329102,415.817139,383.226654,
22-03-2018,,,,,,,,,,,6583.5
24-03-2018,199.203842,1702.572754,358.632599,1711.398071,924.153259,341.251007,4295.278809,1762.918213,425.017914,385.540924,6589.75
25-03-2018,194.142349,1696.34021,358.393738,1768.067749,921.598816,339.021667,4294.187988,1777.310791,412.7659,384.900818,6601.399902
26-03-2018,193.09816,1717.859741,356.434875,1760.398682,898.780273,338.448639,4340.631836,1810.395142,418.352051,395.536438,6641.75
27-03-2018,195.876694,1745.443604,356.769287,1816.584473,899.1026,336.589172,4421.236328,1808.946655,422.835083,390.661743,6695.899902
